ParentID,DataID,Name,Path,Level,CountOfItems,SizeOfAllVersions
262745,255523,Consumer Issues,"Enterprise:Policy Advice, Regulation and Standards:Consumer Issues",3,1946,1040313692
262745,1382606,Delivering Business Facing Services,"Enterprise:Policy Advice, Regulation and Standards:Delivering Business Facing Services",3,2901,8847360
262745,72467371,Disaster Business Support,"Enterprise:Policy Advice, Regulation and Standards:Disaster Business Support",3,81,0
262745,5346744,Dispute Resolution,"Enterprise:Policy Advice, Regulation and Standards:Dispute Resolution",3,641,1149526188
262745,1812594,Earthquake Recovery,"Enterprise:Policy Advice, Regulation and Standards:Earthquake Recovery",3,1158,0
262745,603115,Economic Growth,"Enterprise:Policy Advice, Regulation and Standards:Economic Growth",3,1985,2403759214
262745,255525,Electricity,"Enterprise:Policy Advice, Regulation and Standards:Electricity",3,616,413543649
262745,6801992,Employment,"Enterprise:Policy Advice, Regulation and Standards:Employment",3,695,2391638168
262745,6267983,Employment Relations,"Enterprise:Policy Advice, Regulation and Standards:Employment Relations",3,3101,2290921558
262745,603116,Energy and Resource Information,"Enterprise:Policy Advice, Regulation and Standards:Energy and Resource Information",3,935,233071197
262745,255524,Energy Efficiency,"Enterprise:Policy Advice, Regulation and Standards:Energy Efficiency",3,370,216651948
262745,1602913,Energy International,"Enterprise:Policy Advice, Regulation and Standards:Energy International",3,151,0
262745,1603009,Energy Markets,"Enterprise:Policy Advice, Regulation and Standards:Energy Markets",3,227,119561239
262745,603118,Energy Safety,"Enterprise:Policy Advice, Regulation and Standards:Energy Safety",3,435,3638017565
262745,603120,Firm Capability,"Enterprise:Policy Advice, Regulation and Standards:Firm Capability",3,793,427473403
262745,1603022,Gas,"Enterprise:Policy Advice, Regulation and Standards:Gas",3,259,249701109
262745,61616623,Governance,"Enterprise:Policy Advice, Regulation and Standards:Governance",3,2,0
262745,603122,Government Procurement and Property,"Enterprise:Policy Advice, Regulation and Standards:Government Procurement and Property",3,35669,27985779435
262745,6474218,Health and Safety,"Enterprise:Policy Advice, Regulation and Standards:Health and Safety",3,1922,2353172853
262745,6493564,Immigration,"Enterprise:Policy Advice, Regulation and Standards:Immigration",3,39567,27117886640
262745,17153151,Immigration Advisers,"Enterprise:Policy Advice, Regulation and Standards:Immigration Advisers",3,669,214073436
262745,14467756,Immigration International Linkages,"Enterprise:Policy Advice, Regulation and Standards:Immigration International Linkages",3,415,0
262745,1603089,Infrastructure,"Enterprise:Policy Advice, Regulation and Standards:Infrastructure",3,131,112988525
262745,1985924,Insolvency,"Enterprise:Policy Advice, Regulation and Standards:Insolvency",3,18,1933885
262745,255527,Intellectual Property,"Enterprise:Policy Advice, Regulation and Standards:Intellectual Property",3,1627,1282361930
262745,75296651,Interagency Advice and Consultation,"Enterprise:Policy Advice, Regulation and Standards:Interagency Advice and Consultation",3,2,0
262745,7796172,International Labour Relations,"Enterprise:Policy Advice, Regulation and Standards:International Labour Relations",3,450,257189869
262745,79850769,Just Transition,"Enterprise:Policy Advice, Regulation and Standards:Just Transition",3,23,4350579
262745,6734993,Labour and Business Information,"Enterprise:Policy Advice, Regulation and Standards:Labour and Business Information",3,523,1524411572
262745,20356254,Labour Inspection,"Enterprise:Policy Advice, Regulation and Standards:Labour Inspection",3,22,285915068
262745,603125,Major Events,"Enterprise:Policy Advice, Regulation and Standards:Major Events",3,1044,1494199002
262745,11756067,Maori Economic Development (MED),"Enterprise:Policy Advice, Regulation and Standards:Maori Economic Development (MED)",3,793,24292015
262745,603126,Natural Resources,"Enterprise:Policy Advice, Regulation and Standards:Natural Resources",3,1909,2493345836
262745,603127,Petroleum and Minerals,"Enterprise:Policy Advice, Regulation and Standards:Petroleum and Minerals",3,509,277794350
262745,60321027,Policy Advice for Regulation,"Enterprise:Policy Advice, Regulation and Standards:Policy Advice for Regulation",3,1,0
262745,603128,Postal,"Enterprise:Policy Advice, Regulation and Standards:Postal",3,199,61707369
262745,1807793,Product Safety,"Enterprise:Policy Advice, Regulation and Standards:Product Safety",3,75,14447271
262745,1383619,Provision of Information and Resources to Business,"Enterprise:Policy Advice, Regulation and Standards:Provision of Information and Resources to Business",3,2497,2850282613
262745,28783779,Quality of Advice,"Enterprise:Policy Advice, Regulation and Standards:Quality of Advice",3,179,907936723
262745,3926432,Quality of Regulation,"Enterprise:Policy Advice, Regulation and Standards:Quality of Regulation",3,815,2231765542
262745,603130,Radio Spectrum,"Enterprise:Policy Advice, Regulation and Standards:Radio Spectrum",3,726,0
262745,1809413,Regional Development - Closed,"Enterprise:Policy Advice, Regulation and Standards:Regional Development - Closed",3,56,0
262745,73484756,Regional Economic Development,"Enterprise:Policy Advice, Regulation and Standards:Regional Economic Development",3,79,0
262745,255520,Regions and Cities,"Enterprise:Policy Advice, Regulation and Standards:Regions and Cities",3,3474,3993006495
262745,29857477,"Research, Evaluation and Analysis","Enterprise:Policy Advice, Regulation and Standards:Research, Evaluation and Analysis",3,0,0
262745,4244851,Science and Innovation,"Enterprise:Policy Advice, Regulation and Standards:Science and Innovation",3,4455,8267621013
262745,7828894,Science and Innovation International Linkages,"Enterprise:Policy Advice, Regulation and Standards:Science and Innovation International Linkages",3,2853,1265644050
262745,603132,Sector Development,"Enterprise:Policy Advice, Regulation and Standards:Sector Development",3,1573,2151073243
262745,603133,Small Business,"Enterprise:Policy Advice, Regulation and Standards:Small Business",3,5360,67996029156
262745,46317211,Standards NZ,"Enterprise:Policy Advice, Regulation and Standards:Standards NZ",3,91026,36121325131
262745,1383679,Sustainable Development,"Enterprise:Policy Advice, Regulation and Standards:Sustainable Development",3,63,8431929
262745,255529,Tariff and Border (Goods) Policy,"Enterprise:Policy Advice, Regulation and Standards:Tariff and Border (Goods) Policy",3,246,150182394
262745,255521,Telecommunications,"Enterprise:Policy Advice, Regulation and Standards:Telecommunications",3,2608,3441777606
262745,603137,Tourism,"Enterprise:Policy Advice, Regulation and Standards:Tourism",3,3177,5914829471
262745,603138,Tourism Research,"Enterprise:Policy Advice, Regulation and Standards:Tourism Research",3,2110,2707106336
262745,603139,Trade and Economic Linkages,"Enterprise:Policy Advice, Regulation and Standards:Trade and Economic Linkages",3,1082,422463326
262745,255530,Trade Remedies,"Enterprise:Policy Advice, Regulation and Standards:Trade Remedies",3,252,21567199
74863897,75380708,Agency Administration,Enterprise:Pike River Recovery Agency:Agency Administration,3,212,88973238
74863897,75370636,Chief Executive Workspace (Restricted),Enterprise:Pike River Recovery Agency:Chief Executive Workspace (Restricted),3,10,1769081
74863897,75365359,Communications,Enterprise:Pike River Recovery Agency:Communications,3,60,61384858
74863897,76867756,Conflicts of Interest,Enterprise:Pike River Recovery Agency:Conflicts of Interest,3,5,1170669
